Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
2008,1,3,4,2003,1955,2211,2225,WN,335,N712SW,128,150,116,-14,8,IAD,TPA,810,4,8,0,,0,NA,NA,NA,NA,NA
2008,1,3,4,2321,1955,38,2115,WN,593,N901WN,77,80,65,203,206,LAX,SFO,337,6,6,0,,0,0,0,203,0,0
2008,1,3,4,1103,1040,1359,1340,WN,2813,N761RR,116,120,106,19,23,MDW,MHT,838,3,7,0,,0,19,0,0,0,0
2008,1,3,4,2011,2015,2103,2105,WN,549,N363SW,52,50,37,-2,-4,ORF,BWI,159,2,13,0,,0,NA,NA,NA,NA,NA
2008,1,3,4,714,715,913,930,WN,1945,N271WN,299,315,285,-17,-1,RDU,LAS,2027,5,9,0,,0,NA,NA,NA,NA,NA
2008,1,3,4,1350,1325,1950,1925,WN,1678,N219WN,240,240,215,25,25,SLC,BWI,1864,5,20,0,,0,9,0,0,0,16
2008,1,4,5,839,835,1120,1125,WN,290,N420WN,101,110,89,-5,4,ABQ,MCI,718,4,8,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,1207,1205,1349,1355,WN,675,N496WN,102,110,79,-6,2,BWI,IND,515,7,16,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,643,645,754,800,WN,619,N799SW,71,75,58,-6,-2,ELP,PHX,347,3,10,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,644,645,1207,1210,WN,227,N259WN,203,205,184,-3,-1,LAS,MDW,1521,5,14,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,1705,1655,1737,1730,WN,2036,N660SW,92,95,77,7,10,MCO,BHM,478,4,11,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,1105,1055,1417,1410,WN,45,N306SW,132,135,108,7,10,OAK,ABQ,889,4,20,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,1108,1105,1704,1725,WN,236,N435WN,236,260,217,-21,3,PHX,BWI,1999,4,15,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,1142,1115,1313,1250,WN,1010,N741SA,91,95,79,23,27,SAN,SMF,480,4,8,0,,0,0,3,0,0,20
2008,1,4,5,1750,1730,1922,1855,WN,2115,N211WN,92,85,74,27,20,SNA,SMF,404,4,14,0,,0,0,0,7,0,20
2008,1,5,6,1047,1050,1337,1330,WN,420,N439WN,290,280,272,7,-3,BNA,LAX,1797,11,7,0,,0,NA,NA,NA,NA,NA
2008,1,5,6,1436,1430,1525,1525,WN,1430,N527SW,49,55,40,0,6,DAL,TUL,237,2,7,0,,0,NA,NA,NA,NA,NA
2008,1,5,6,1250,1250,1432,1355,WN,784,N454WN,102,65,48,37,0,LAS,LAX,236,6,48,0,,0,0,0,37,0,0
2008,1,5,6,1213,1210,1355,1355,WN,1852,N498WN,162,165,150,0,3,MCO,MDW,989,4,8,0,,0,NA,NA,NA,NA,NA
2008,1,5,6,1921,1810,2205,2125,WN,3402,N371SW,104,135,90,40,71,OAK,TUS,747,4,10,0,,0,10,0,0,0,30
2008,1,5,6,1046,1050,1221,1230,WN,606,N672SW,95,100,78,-9,-4,RDU,MCO,534,7,10,0,,0,NA,NA,NA,NA,NA
2008,1,5,6,1335,1245,1459,1410,WN,179,N495WN,84,85,72,49,50,SMF,SAN,480,3,9,0,,0,0,48,0,0,1
2008,1,6,7,1050,1045,1320,1320,WN,602,N900WN,90,95,79,0,5,BNA,BWI,588,3,8,0,,0,NA,NA,NA,NA,NA
2008,1,6,7,2045,2005,2131,2055,WN,2969,N643SW,46,50,35,36,40,DAL,AUS,189,3,8,0,,0,1,0,0,0,35
2008,1,6,7,1513,1450,1703,1710,WN,1491,N637SW,110,140,98,-7,23,IAD,MCO,758,4,8,0,,0,NA,NA,NA,NA,NA
2008,1,6,7,1244,1245,1405,1405,WN,776,N720WN,81,80,68,0,-1,LAX,SFO,337,3,10,0,,0,NA,NA,NA,NA,NA
